JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451616.4153,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451616.8715,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451617.4,5.1,,,Vis.,PLA,A,,,,,,,V,,,,ETA CAR,,STD,,,,
2451617.4403,5.1,,,Vis.,SBN,M,,,,,,,V,,,,ETA CAR,,STD,,,,
2451617.864,5.1,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451617.8910,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451618.2,5.3,,,Vis.,MLF,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451619.0625,5.3,,,Vis.,SJDA,,,,,B7X50,,,Z,,,,ETA CAR,BAA-VSS,STD,,,,BAAVSS
2451619.1424,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451619.4597,5.1,,,Vis.,SBN,M,,,,,,,V,,,,ETA CAR,,STD,,,,
2451619.595,5.5,,,Vis.,IPA,,,,,,,,V,,,,ETA CAR,,STD,,,,
